episode,total_steps,wall_s,algo,level,return_scaled,return_raw,length,secondary,x_pos_max,covered_px,pages,flag_get,death_cause,warped,time_left,coins,score,areas,max_area
0,50,6.7,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
1,100,9.2,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
2,150,9.6,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
3,200,10.0,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
4,250,10.3,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
5,300,11.0,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
6,350,11.4,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
7,400,11.8,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
8,450,12.1,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
9,500,12.5,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
10,550,12.9,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
11,600,13.3,rainbow_cnn_dqn,,-8.1,,50,0,,,,,,,,,,,
12,650,13.6,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
13,700,14.0,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
14,750,14.4,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
15,800,14.8,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
16,850,15.1,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
17,900,15.5,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
18,950,15.9,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
19,1000,16.2,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
20,1050,16.6,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
21,1100,17.0,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
22,1150,17.4,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
23,1200,17.7,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
24,1250,18.1,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
25,1300,18.5,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
26,1350,18.8,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
27,1400,19.2,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
28,1450,19.6,rainbow_cnn_dqn,,-0.9,,50,0,,,,,,,,,,,
29,1500,20.0,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
30,1550,20.3,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
31,1600,20.7,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
32,1650,21.4,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
33,1700,21.8,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
34,1750,22.1,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
35,1800,22.5,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
36,1850,22.9,rainbow_cnn_dqn,,-3.3,,50,0,,,,,,,,,,,
37,1900,23.3,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
38,1950,23.6,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
39,2000,24.0,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
40,2050,24.4,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
41,2100,24.7,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
42,2150,25.1,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
43,2200,25.5,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
44,2250,25.9,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
45,2300,26.2,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
46,2350,26.6,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
47,2400,27.0,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
48,2450,27.3,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
49,2500,27.7,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
50,2550,28.1,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
51,2600,28.5,rainbow_cnn_dqn,,0.3,,50,0,,,,,,,,,,,
52,2650,28.8,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
53,2700,29.2,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
54,2750,29.6,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
55,2800,30.0,rainbow_cnn_dqn,,0.9,,50,0,,,,,,,,,,,
56,2850,30.3,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
57,2900,30.7,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
58,2950,31.1,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
59,3000,31.8,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
60,3050,32.1,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
61,3100,32.5,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
62,3150,32.9,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
63,3200,33.2,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
64,3250,33.6,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
